window,T,duration_s,max_people,mean_people,frames_0p,frames_1p,frames_2p,frames_3p,frames_4p,speed_median,speed_p90
0,7500,300.0,2,2.0,0,0,7500,0,0,0.453,0.61
1,7500,300.0,2,2.0,0,0,7500,0,0,0.445,0.624
2,7500,300.0,2,2.0,0,0,7500,0,0,0.447,0.596
3,7500,300.0,2,2.0,0,0,7500,0,0,0.415,0.55
4,7500,300.0,2,2.0,0,0,7500,0,0,0.117,0.48
5,7500,300.0,4,4.0,0,0,0,0,7500,0.549,0.733
6,7500,300.0,4,4.0,0,0,0,0,7500,0.515,0.732
7,7500,300.0,4,4.0,0,0,0,0,7500,0.471,0.698
8,7500,300.0,4,4.0,0,0,0,0,7500,0.382,0.709
9,7500,300.0,4,4.0,0,0,0,0,7500,0.403,0.727
10,7500,300.0,4,4.0,0,0,0,0,7500,0.202,0.713
11,7500,300.0,4,4.0,0,0,0,0,7500,0.254,0.748
12,7500,300.0,3,3.0,0,0,0,7500,0,0.505,0.772
13,7500,300.0,3,3.0,0,0,0,7500,0,0.512,0.748
14,7500,300.0,3,3.0,0,0,0,7500,0,0.133,0.521
15,7500,300.0,3,3.0,0,0,0,7500,0,0.041,0.327
16,7500,300.0,1,1.0,0,7500,0,0,0,0.496,0.563
17,7500,300.0,1,1.0,0,7500,0,0,0,0.507,0.581
18,7500,300.0,1,1.0,0,7500,0,0,0,0.541,0.621
19,7500,300.0,1,1.0,0,7500,0,0,0,0.583,0.649
20,7500,300.0,1,1.0,0,7500,0,0,0,0.583,0.668
21,7500,300.0,1,1.0,0,7500,0,0,0,0.015,0.029
22,7500,300.0,0,0.0,7500,0,0,0,0,0.0,0.0
23,7500,300.0,0,0.0,7500,0,0,0,0,0.0,0.0
